x1,x2,actual,prediction
-0,0,0,0
-0.00230076,0.0032917,0,1
0.000221937,0.00802906,0,1
-0.00109572,0.0119983,0,1
0.0103882,0.0122534,0,0
0.0120488,0.0160638,0,0
-0.00303353,0.0239047,0,1
-0.000213497,0.0281116,0,1
0.0240451,0.021309,0,0
0.0239521,0.0270689,0,0
0.022969,0.0329439,0,0
0.0103664,0.0429432,0,0
0.00733821,0.0476308,0,0
0.017678,0.0491248,0,0
0.0112627,0.0550853,0,0
-0.00274007,0.0601786,0,1
0.0337046,0.054708,0,0
0.0395551,0.0556472,0,0
0.0539487,0.0481171,0,0
0.0496356,0.0579551,0,0
0.0753429,0.0278382,0,0
0.0543695,0.0644729,0,0
0.0855893,-0.021927,0,0
0.0198359,0.0902145,0,0
-0.0187299,0.0945482,0,1
0.0833817,0.0559284,0,0
0.0837002,-0.0624286,0,0
0.087375,0.0642143,0,0
0.0605499,0.0947558,0,0
0.0552072,0.10255,0,0
0.107983,0.0534371,0,0
0.123982,0.0113237,0,0
0.105833,0.0729058,0,0
0.104056,0.0820762,0,0
0.136347,0.00736399,0,0
0.136059,0.0352951,0,0
0.143931,-0.0136675,0,0
0.134796,0.0625336,0,0
0.144159,0.0500801,0,0
0.0325482,0.153207,0,0
0.104609,0.121914,0,0
0.164221,-0.0119962,0,0
0.145281,0.0857012,0,0
0.144774,-0.094142,0,0
0.128709,-0.121075,0,0
0.17659,-0.03843,0,0
0.15631,-0.098467,0,0
0.0809169,-0.170531,0,0
0.190808,0.0274387,0,0
0.167526,-0.103248,0,0
0.159846,-0.121537,0,0
0.194678,-0.0636504,0,0
0.201354,-0.0553957,0,0
0.168212,-0.130425,0,0
0.108241,-0.187924,0,0
0.181064,-0.126513,0,0
0.0998243,-0.201531,0,0
0.164207,-0.159495,0,0
0.167555,-0.16181,0,0
0.127001,-0.200038,0,0
0.145692,-0.191931,0,0
0.128404,-0.208633,0,0
0.234971,-0.0823877,0,0
0.178857,-0.178956,0,0
0.225581,-0.123194,0,0
0.254185,-0.0594464,0,0
0.216078,-0.153516,0,0
0.0446415,-0.265347,0,0
0.237654,-0.134537,0,0
0.0555101,-0.271492,0,0
-0.143017,-0.242027,0,0
-0.0554507,-0.279697,0,1
0.0420455,-0.286083,0,0
-0.108089,-0.27252,0,0
0.0782636,-0.286698,0,0
0.0180478,-0.300664,0,0
-0.0907541,-0.291416,0,0
-0.216247,-0.221053,0,0
0.0285285,-0.311951,0,0
-0.0318064,-0.315671,0,0
-0.180646,-0.26569,0,0
0.0251069,-0.324331,0,0
-0.171498,-0.281138,0,0
-0.119522,-0.311168,0,0
0.0324526,-0.335785,0,0
0.088173,-0.329782,0,0
0.0766621,-0.336766,0,0
-0.190097,-0.293158,0,0
-0.178953,-0.304757,0,0
-0.147846,-0.325419,0,0
-0.291689,-0.213449,0,0
0.230732,-0.283417,0,0
-0.34456,-0.133389,0,0
-0.0601675,-0.368616,0,1
-0.368968,-0.0798526,0,0
-0.269544,-0.270015,0,0
-0.189727,-0.335628,0,0
0.0127387,-0.38935,0,0
-0.37773,-0.110546,0,0
-0.337889,-0.209544,0,0
-0.178616,-0.3597,0,0
-0.394504,-0.0943198,0,0
-0.395754,-0.105748,0,0
-0.325406,-0.255385,0,0
-0.127562,-0.397714,0,0
-0.390112,-0.1601,0,0
-0.260447,-0.336735,0,0
-0.428632,0.0305403,0,0
-0.406316,-0.151767,0,0
-0.43741,-0.0172844,0,0
-0.440727,-0.0302955,0,0
-0.37822,0.23595,0,0
-0.415735,-0.171707,0,0
-0.446705,-0.0800174,0,0
-0.370218,-0.269347,0,0
-0.230782,0.400053,0,0
-0.454429,0.102584,0,0
